paper_id,has_pdf,dataset;method,number_citations,booktitle,pdf_url,year,title,type,authors
conf_ercimdl_Simeoni04,false,2;2,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-30230-8_35,2004,'Servicing the federation: the case for metadata harvesting',inproceedings,Fabio Simeoni
conf_ercimdl_Heggland02,false,2;5,-1,ECDL,http://dx.doi.org/10.1007/3-540-45747-X_9,2002,'Ontolog: temporal annotation using ad hoc ontologies and application profiles',inproceedings,Jon Heggland
conf_ercimdl_RavindranathanSGFFF04,false,0;4,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-30230-8_18,2004,'Prototyping digital libraries handling heterogeneous data sources - the etana-dl case study',inproceedings,Unni Ravindranathan;Rao Shen;Marcos André Gonçalves;Weiguo Fan;Edward A. Fox;James W. Flanagan
conf_ercimdl_AmannF99,false,2;5,-1,ECDL,http://dx.doi.org/10.1007/3-540-48155-9_16,1999,'Integrating ontologies and thesauri to build rdf schemas',inproceedings,Bernd Amann;Irini Fundulaki
conf_ercimdl_GatosGMPTTV98,false,0;0,-1,ECDL,http://dx.doi.org/10.1007/3-540-49653-X_66,1998,'A new method for segmenting newspaper articles',inproceedings,Basilios Gatos;N. Gouraros;S. L. Mantzaris;Stavros J. Perantonis;A. Tsigris;P. Tzavelis;Nikolaos Vassilas
conf_ercimdl_Liu08,false,1;7,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-87599-4_15,2008,'A participative digital archiving approach to university history and memory',inproceedings,Jyishane Liu
conf_ercimdl_OuKG05,false,2;2,-1,ECDL,http://dx.doi.org/10.1007/11551362_40,2005,"'A multi-document summarization system for sociology dissertation abstracts: design, implementation and evaluation'",inproceedings,Shiyan Ou;Christopher S. G. Khoo;Dion Hoe-Lian Goh
conf_ercimdl_KovacsM07,false,4;14,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-74851-9_24,2007,'Extending semantic matching towards digital library contexts',inproceedings,László Kovács;András Micsik
conf_ercimdl_BehrensEEJLLNTV08,false,2;5,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-87599-4_47,2008,'Summa: this is not a demo',inproceedings,Gitte Behrens;Mikkel Kamstrup Erlandsen;Toke Eskildsen;Bolette Ammitzbøll Jurik;Dorete Bøving Larsen;Hans Lauridsen;Michael Poltorak Nielsen;Jørn Thøgersen;Mads Villadsen
conf_ercimdl_StefikL97,false,0;5,-1,ECDL,http://dx.doi.org/10.1007/BFb0026717,1997,'Libraries and digital property rights',inproceedings,Mark Stefik;Giuliana Lavendel
conf_ercimdl_Day03,false,1;8,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-45175-4_42,2003,'Preserving the fabric of our lives: a survey of web',inproceedings,Michael J. Day
conf_ercimdl_AndreoniBBCCPP99,false,9;13,-1,ECDL,http://dx.doi.org/10.1007/3-540-48155-9_22,1999,'Developing a european technical reference digital library',inproceedings,Antonella Andreoni;Maria Bruna Baldacci;Stefania Biagioni;Carlo Carlesi;Donatella Castelli;Pasquale Pagano;Carol Peters
conf_ercimdl_AthanasopoulosFIKMMRS10,false,1;3,-1,ECDL,http://dx.doi.org/10.1007/978-3-642-15464-5_43,2010,'A functionality perspective on digital library interoperability',inproceedings,George Athanasopoulos;Edward A. Fox;Yannis E. Ioannidis;George Kakaletris;Natalia Manola;Carlo Meghini;Andreas Rauber;Dagobert Soergel
conf_ercimdl_HsuCHC08,false,2;3,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-87599-4_46,2008,"'An xml-centric storage for better preservation and maintenance of data: union catalog of ndap, taiwan'",inproceedings,Tzu-Yen Hsu;Ting-Hua Chen;Chung-Hsi Hung;Sea-Hom Chou
conf_ercimdl_ShiratuddinL00,false,0;1,-1,ECDL,http://dx.doi.org/10.1007/3-540-45268-0_68,2000,'Conceptual model of children's electronic textbook',inproceedings,Norshuhada Shiratuddin;Monica Landoni
conf_ercimdl_BuchananP10,false,4;8,-1,ECDL,http://dx.doi.org/10.1007/978-3-642-15464-5_11,2010,'An architecture for supporting rfid-enhanced interactions in digital libraries',inproceedings,George Buchanan;Jennifer S. Pearson
