paper_id,has_pdf,dataset;method,number_citations,booktitle,pdf_url,year,title,type,authors
conf_acl_Hobbs83,true,0;0,101,ACL,http://aclweb.org/anthology-new/P/P83/P83-1009.pdf,1983,'An improper treatment of quantification in ordinary english',inproceedings,Jerry R. Hobbs
conf_acl_Church86,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P86/P86-1023.pdf,1986,'Morphoogicai decomposition and stress assignment for speech synthesis',inproceedings,Kenneth Church
conf_acl_KollerS02,true,0;0,70,ACL,http://www.aclweb.org/anthology/P02-1003.pdf,2002,'Generation as dependency parsing',inproceedings,Alexander Koller;Kristina Striegnitz
conf_acl_ConklinM82,true,0;0,61,ACL,http://aclweb.org/anthology-new/P/P82/P82-1030.pdf,1982,'Salience: the key to the selection problem in natural language generation',inproceedings,E. Jeffrey Conklin;David D. McDonald
conf_acl_Grishman81,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P81/P81-1022.pdf,1981,'Parsing',inproceedings,Ralph Grishman
conf_acl_BangaloreHK07,true,0;0,61,ACL,http://aclweb.org/anthology-new/P/P07/P07-1020.pdf,2007,'Statistical machine translation through global lexical selection and sentence reconstruction',inproceedings,Srinivas Bangalore;Patrick Haffner;Stephan Kanthak
conf_acl_LiL02,true,0;0,119,ACL,http://www.aclweb.org/anthology/P02-1044.pdf,2002,'Word translation disambiguation using bilingual bootstrapping',inproceedings,Cong Li;Hang Li
conf_acl_ChanNC07,true,0;0,289,ACL,http://aclweb.org/anthology-new/P/P07/P07-1005.pdf,2007,'Word sense disambiguation improves statistical machine translation',inproceedings,Yee Seng Chan;Hwee Tou Ng;David Chiang
conf_acl_Scherrer07,true,0;0,17,ACL,http://aclweb.org/anthology-new/P/P07/P07-3010.pdf,2007,'Adaptive string distance measures for bilingual dialect lexicon induction',inproceedings,Yves Scherrer
conf_acl_GhoseIS07,true,0;0,153,ACL,http://aclweb.org/anthology-new/P/P07/P07-1053.pdf,2007,'Opinion mining using econometrics: a case study on reputation systems',inproceedings,Anindya Ghose;Panagiotis G. Ipeirotis;Arun Sundararajan
conf_acl_BoschB02,true,0;0,32,ACL,http://www.aclweb.org/anthology/P02-1055.pdf,2002,'Shallow parsing on the basis of words only: a case study',inproceedings,Antal van den Bosch;Sabine Buchholz
conf_acl_Warren83,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P83/P83-1008.pdf,1983,'Using x-calculus to represent meanings in logic grammars',inproceedings,David Scott Warren
conf_acl_Lee07,true,0;0,31,ACL,http://aclweb.org/anthology-new/P/P07/P07-1060.pdf,2007,'A computational model of text reuse in ancient literary texts',inproceedings,John Lee
conf_acl_KoehnHBCFBCSMZDBCH07,true,0;0,4129,ACL,http://aclweb.org/anthology-new/P/P07/P07-2045.pdf,2007,'Moses: open source toolkit for statistical machine translation',inproceedings,Philipp Koehn;Hieu Hoang;Alexandra Birch;Chris Callison-Burch;Marcello Federico;Nicola Bertoldi;Brooke Cowan;Wade Shen;Christine Moran;Richard Zens;Chris Dyer;Ondrej Bojar;Alexandra Constantin;Evan Herbst
conf_acl_WanYX07,true,0;0,162,ACL,http://aclweb.org/anthology-new/P/P07/P07-1070.pdf,2007,'Towards an iterative reinforcement approach for simultaneous document summarization and keyword extraction',inproceedings,Xiaojun Wan;Jianwu Yang;Jianguo Xiao
conf_acl_FinkelGM07,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P07/P07-1035.pdf,2007,'The infinite tree',inproceedings,Jenny Rose Finkel;Trond Grenager;Christopher D. Manning
conf_acl_RiezlerKKCMJ02,true,0;0,-1,ACL,http://www.aclweb.org/anthology/P02-1035.pdf,2002,'Parsing the wall street journal using a lexical-functional grammar and discriminative estimation techniques',inproceedings,Stefan Riezler;Tracy Holloway King;Ronald M. Kaplan;Richard S. Crouch;John T. Maxwell III;Mark Johnson
conf_acl_Appelt82,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P82/P82-1027.pdf,1982,'Planning natural language referring expressions',inproceedings,Douglas E. Appelt
conf_acl_HendrixL81,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P81/P81-1035.pdf,1981,'Transportable natural-language interfaces to databases',inproceedings,Gary G. Hendrix;William H. Lewis
conf_acl_MarcoS07,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P07/P07-1114.pdf,2007,'Words and echoes: assessing and mitigating the non-randomness problem in word frequency distribution modeling',inproceedings,Marco Baroni;Stefan Evert
conf_acl_Barthelemy07,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P07/P07-1117.pdf,2007,'Using mazurkiewicz trace languages for partition-based morphology',inproceedings,François Barthélemy
conf_acl_HaghighiK07,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P07/P07-1107.pdf,2007,'Unsupervised coreference resolution in a nonparametric bayesian model',inproceedings,Aria Haghighi;Dan Klein
conf_acl_CohnL07,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P07/P07-1092.pdf,2007,'Machine translation by triangulation: making effective use of multi-parallel corpora',inproceedings,Trevor Cohn;Mirella Lapata
conf_acl_Scheible07,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P07/P07-3012.pdf,2007,'Towards a computational treatment of superlatives',inproceedings,Silke Scheible
conf_acl_Byron02,true,0;0,-1,ACL,http://www.aclweb.org/anthology/P02-1011.pdf,2002,'Resolving pronominal reference to abstract entities',inproceedings,Donna K. Byron
conf_acl_Mann81,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P81/P81-1008.pdf,1981,'Selective planning of interface evaluations',inproceedings,William C. Mann
conf_acl_Langley82,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P82/P82-1032.pdf,1982,'A model of early syntactic development',inproceedings,Pat Langley
conf_acl_GardentP07,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P07/P07-2004.pdf,2007,'Semtag: a platform for specifying tree adjoining grammars and performing tag-based semantic construction',inproceedings,Claire Gardent;Yannick Parmentier 0001
conf_acl_ZhangS07,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P07/P07-2046.pdf,2007,'Boosting statistical machine translation by lemmatization and linear interpolation',inproceedings,Ruiqiang Zhang;Eiichiro Sumita
conf_acl_BeckmanP86,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P86/P86-1025.pdf,1986,'Japanese prosodic phrasing and intonation synthesis',inproceedings,Mary E. Beckman;Janet B. Pierrehumbert
conf_acl_WuW07,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P07/P07-1108.pdf,2007,'Pivot language approach for phrase-based statistical machine translation',inproceedings,Hua Wu;Haifeng Wang
